edge_threshold,kelly_fraction,min_floor,max_trade_size,calibration,trades,win_rate_pct,total_pnl,avg_size
0.05,0.05,10.0,5.0,ON,322,51.55,121.04,10.00
0.05,0.05,10.0,5.0,OFF,322,51.55,121.04,10.00
0.05,0.05,10.0,10.0,ON,322,51.55,121.04,10.00
0.05,0.05,10.0,10.0,OFF,322,51.55,121.04,10.00
0.05,0.05,10.0,20.0,ON,322,51.55,121.04,10.00
0.05,0.05,10.0,20.0,OFF,322,51.55,121.04,10.00
0.05,0.1,10.0,5.0,ON,322,51.55,121.04,10.00
0.05,0.1,10.0,5.0,OFF,322,51.55,121.04,10.00
0.05,0.1,10.0,10.0,ON,322,51.55,121.04,10.00
0.05,0.1,10.0,10.0,OFF,322,51.55,121.04,10.00
0.05,0.1,10.0,20.0,ON,322,51.55,121.04,10.00
0.05,0.1,10.0,20.0,OFF,322,51.55,121.04,10.00
0.05,0.15,10.0,5.0,ON,322,51.55,121.04,10.00
0.05,0.15,10.0,5.0,OFF,322,51.55,121.04,10.00
0.05,0.15,10.0,10.0,ON,322,51.55,121.04,10.00
0.05,0.15,10.0,10.0,OFF,322,51.55,121.04,10.00
0.05,0.15,10.0,20.0,ON,322,51.55,121.04,10.00
0.05,0.15,10.0,20.0,OFF,322,51.55,121.04,10.00
0.05,0.25,10.0,5.0,ON,322,51.55,121.04,10.00
0.05,0.25,10.0,5.0,OFF,322,51.55,121.04,10.00
0.05,0.25,10.0,10.0,ON,322,51.55,121.04,10.00
0.05,0.25,10.0,10.0,OFF,322,51.55,121.04,10.00
0.05,0.25,10.0,20.0,ON,322,51.55,121.04,10.00
0.05,0.25,10.0,20.0,OFF,322,51.55,121.04,10.00
0.05,0.25,None,10.0,OFF,320,51.88,82.84,5.75
0.05,0.25,None,20.0,OFF,320,51.88,82.84,5.75
0.05,0.25,1.0,10.0,OFF,322,51.55,80.84,5.72
0.05,0.25,1.0,20.0,OFF,322,51.55,80.84,5.72
0.05,0.25,None,5.0,OFF,320,51.88,72.02,4.95
0.07,0.05,10.0,5.0,ON,157,51.59,70.27,10.00
0.07,0.05,10.0,5.0,OFF,157,51.59,70.27,10.00
0.07,0.05,10.0,10.0,ON,157,51.59,70.27,10.00
0.07,0.05,10.0,10.0,OFF,157,51.59,70.27,10.00
0.07,0.05,10.0,20.0,ON,157,51.59,70.27,10.00
0.07,0.05,10.0,20.0,OFF,157,51.59,70.27,10.00
0.07,0.1,10.0,5.0,ON,157,51.59,70.27,10.00
0.07,0.1,10.0,5.0,OFF,157,51.59,70.27,10.00
0.07,0.1,10.0,10.0,ON,157,51.59,70.27,10.00
0.07,0.1,10.0,10.0,OFF,157,51.59,70.27,10.00
0.07,0.1,10.0,20.0,ON,157,51.59,70.27,10.00
0.07,0.1,10.0,20.0,OFF,157,51.59,70.27,10.00
0.07,0.15,10.0,5.0,ON,157,51.59,70.27,10.00
0.07,0.15,10.0,5.0,OFF,157,51.59,70.27,10.00
0.07,0.15,10.0,10.0,ON,157,51.59,70.27,10.00
0.07,0.15,10.0,10.0,OFF,157,51.59,70.27,10.00
0.07,0.15,10.0,20.0,ON,157,51.59,70.27,10.00
0.07,0.15,10.0,20.0,OFF,157,51.59,70.27,10.00
0.07,0.25,10.0,5.0,ON,157,51.59,70.27,10.00
0.07,0.25,10.0,5.0,OFF,157,51.59,70.27,10.00
0.07,0.25,10.0,10.0,ON,157,51.59,70.27,10.00
0.07,0.25,10.0,10.0,OFF,157,51.59,70.27,10.00
0.07,0.25,10.0,20.0,ON,157,51.59,70.27,10.00
0.07,0.25,10.0,20.0,OFF,157,51.59,70.27,10.00
0.05,0.25,1.0,5.0,OFF,322,51.55,70.02,4.93
0.05,0.15,None,10.0,OFF,320,51.88,69.58,4.10
0.05,0.15,None,20.0,OFF,320,51.88,69.58,4.10
0.05,0.15,1.0,10.0,OFF,322,51.55,67.58,4.09
0.05,0.15,1.0,20.0,OFF,322,51.55,67.58,4.09
0.05,0.15,None,5.0,OFF,320,51.88,64.16,4.03
0.05,0.15,1.0,5.0,OFF,322,51.55,62.16,4.01
0.05,0.25,None,10.0,ON,320,51.88,52.19,2.28
0.05,0.25,None,20.0,ON,320,51.88,52.19,2.28
0.05,0.25,1.0,10.0,ON,322,51.55,50.49,2.39
0.05,0.25,1.0,20.0,ON,322,51.55,50.49,2.39
0.07,0.25,None,10.0,OFF,155,52.26,50.21,5.98
0.07,0.25,None,20.0,OFF,155,52.26,50.21,5.98
0.05,0.1,None,10.0,OFF,320,51.88,49.40,2.74
0.05,0.1,None,20.0,OFF,320,51.88,49.40,2.74
0.05,0.1,None,5.0,OFF,320,51.88,48.97,2.74
0.07,0.25,1.0,10.0,OFF,157,51.59,48.21,5.91
0.07,0.25,1.0,20.0,OFF,157,51.59,48.21,5.91
0.05,0.1,1.0,10.0,OFF,322,51.55,47.40,2.73
0.05,0.1,1.0,20.0,OFF,322,51.55,47.40,2.73
0.05,0.1,1.0,5.0,OFF,322,51.55,46.97,2.73
0.07,0.15,None,10.0,OFF,155,52.26,46.13,4.75
0.07,0.15,None,20.0,OFF,155,52.26,46.13,4.75
0.05,0.25,1.0,5.0,ON,322,51.55,45.02,2.07
0.07,0.25,None,5.0,OFF,155,52.26,44.46,5.00
0.07,0.15,1.0,10.0,OFF,157,51.59,44.13,4.70
0.07,0.15,1.0,20.0,OFF,157,51.59,44.13,4.70
0.05,0.25,None,5.0,ON,320,51.88,42.83,1.85
0.07,0.25,1.0,5.0,OFF,157,51.59,42.46,4.95
0.07,0.15,None,5.0,OFF,155,52.26,40.71,4.59
0.1,0.05,10.0,5.0,ON,11,63.64,40.44,10.00
0.1,0.05,10.0,5.0,OFF,11,63.64,40.44,10.00
0.1,0.05,10.0,10.0,ON,11,63.64,40.44,10.00
0.1,0.05,10.0,10.0,OFF,11,63.64,40.44,10.00
0.1,0.05,10.0,20.0,ON,11,63.64,40.44,10.00
0.1,0.05,10.0,20.0,OFF,11,63.64,40.44,10.00
0.1,0.1,10.0,5.0,ON,11,63.64,40.44,10.00
0.1,0.1,10.0,5.0,OFF,11,63.64,40.44,10.00
0.1,0.1,10.0,10.0,ON,11,63.64,40.44,10.00
0.1,0.1,10.0,10.0,OFF,11,63.64,40.44,10.00
0.1,0.1,10.0,20.0,ON,11,63.64,40.44,10.00
0.1,0.1,10.0,20.0,OFF,11,63.64,40.44,10.00
0.1,0.15,10.0,5.0,ON,11,63.64,40.44,10.00
0.1,0.15,10.0,5.0,OFF,11,63.64,40.44,10.00
0.1,0.15,10.0,10.0,ON,11,63.64,40.44,10.00
